partido_o_alianza,candidato_a_la_presidencia,valor,mes,año,encuestadora,medio,codigo_encuesta
,Ninguno,13,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Nulo,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Indecisos,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
MAS-IPSP,Morales,31,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
CC,Mesa,33,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Revilla,1,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Costas,4,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Doria Medina,9,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
21F,Ortiz,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
UCS,Cárdenas,1,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
MTS,Patzi,1,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
MNR,Lema,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Quiroga,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
PDC,Paz Zamora,1,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
PAN-BOL,Nina,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
FPV,Rodríguez,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Albarracín,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Otros,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,NS/NR,7,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Blanco,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Ninguno,12,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Nulo,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
,Indecisos,,octubre,2018,mercados_y_muestras,pg7,mercados_y_muestras_octubre_2018
MAS-IPSP,Morales,35,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
CC,Mesa,31,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Revilla,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Costas,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Doria Medina,11,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
21F,Ortiz,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
UCS,Cárdenas,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
MTS,Patzi,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
MNR,Lema,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Quiroga,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
PDC,Paz Zamora,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
PAN-BOL,Nina,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
FPV,Rodríguez,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Albarracín,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Otros,7,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,NS/NR,16,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Blanco,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Ninguno,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Nulo,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
,Indecisos,,octubre,2018,tal_cual,atb,tal_cual_octubre_2018
MAS-IPSP,Morales,35,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
CC,Mesa,26,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Revilla,4,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Costas,6,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Doria Medina,4,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
21F,Ortiz,2,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
UCS,Cárdenas,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
MTS,Patzi,4,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
MNR,Lema,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Quiroga,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
PDC,Paz Zamora,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
PAN-BOL,Nina,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
FPV,Rodríguez,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Albarracín,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Otros,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,NS/NR,19,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Blanco,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Ninguno,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Nulo,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
,Indecisos,,octubre,2018,ciesmori,atb,ciesmori_octubre_2018
MAS-IPSP,Morales,29,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
CC,Mesa,34,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Revilla,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Costas,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Doria Medina,10,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
21F,Ortiz,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
UCS,Cárdenas,3,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
MTS,Patzi,2,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
MNR,Lema,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Quiroga,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
PDC,Paz Zamora,4,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
PAN-BOL,Nina,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
FPV,Rodríguez,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Albarracín,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Otros,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,NS/NR,10,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Blanco,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Ninguno,7,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Nulo,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
,Indecisos,,noviembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2018
MAS-IPSP,Morales,30,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
CC,Mesa,39,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Revilla,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Costas,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Doria Medina,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
21F,Ortiz,4,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
UCS,Cárdenas,3,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
MTS,Patzi,2,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
MNR,Lema,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Quiroga,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
PDC,Paz Zamora,2,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
PAN-BOL,Nina,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
FPV,Rodríguez,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Albarracín,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Otros,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,NS/NR,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Blanco,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Ninguno,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Nulo,,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
,Indecisos,20,diciembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_diciembre_2018
MAS-IPSP,Morales,34.5,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
CC,Mesa,22.2,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Revilla,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Costas,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Doria Medina,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
21F,Ortiz,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
UCS,Cárdenas,1.2,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
MTS,Patzi,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
MNR,Lema,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Quiroga,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
PDC,Paz Zamora,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
PAN-BOL,Nina,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
FPV,Rodríguez,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Albarracín,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Otros,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,NS/NR,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Blanco,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Ninguno,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Nulo,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
,Indecisos,,diciembre,2018,captura_consulting,pat,captura_consulting_diciembre_2018
MAS-IPSP,Morales,32,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
CC,Mesa,32,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Revilla,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Costas,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Doria Medina,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
21F,Ortiz,4,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
UCS,Cárdenas,2,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
MTS,Patzi,2,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
MNR,Lema,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Quiroga,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
PDC,Paz Zamora,3,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
PAN-BOL,Nina,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
FPV,Rodríguez,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Albarracín,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Otros,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,NS/NR,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Blanco,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Ninguno,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Nulo,,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
,Indecisos,25,enero,2019,mercados_y_muestras,pg7,mercados_y_muestras_enero_2019
MAS-IPSP,Morales,33.4,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
CC,Mesa,21.9,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Revilla,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Costas,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Doria Medina,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
21F,Ortiz,6.2,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
UCS,Cárdenas,3.1,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
MTS,Patzi,1.9,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
MNR,Lema,0.4,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Quiroga,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
PDC,Paz Zamora,1.2,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
PAN-BOL,Nina,0.8,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
FPV,Rodríguez,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Albarracín,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Otros,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,NS/NR,13.4,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Blanco,18,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Ninguno,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Nulo,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
,Indecisos,,enero,2019,captura_consulting,pat,captura_consulting_enero_2019
MAS-IPSP,Morales,35.6,febrero,2019,tal_cual,atb,tal_cual_febrero_2019
CC,Mesa,30.5,febrero,2019,tal_cual,atb,tal_cual_febrero_2019
,Revilla,,febrero,2019,tal_cual,atb,tal_cual_febrero_2019
